Index,Time_s,Fx,Fy,Fz,F_Amp,Psi_Imp,Psi_Int,Beta,K_Stiffness,Vel_Raw,Vel_Filt,Acc_Raw,Acc_Filt,Lyapunov_V_Nmm,Loop_Duration_s,q1,q2,q3,q4,q5,tau1,tau2,tau3,tau4,tau5,deltaXcmd,deltaYcmd,deltaZcmd,Tx_EE,Ty_EE,Tz_EE,Roll,Pitch,Yaw
0,0.0000,-0.1089,0.0058,0.1358,0.1742,0.0000,0.0000,0.0000,20.0000,3.2730,0.4178,51.6882,15.6118,0.0001,0.000680,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0000,-6.3732,-3.6123,-0.9928,0.0000,-0.018924,-0.002039,-0.026627,-0.0013,0.0016,-0.0001,-180.0000,0.0000,0.0000
1,0.0100,-0.1145,-0.0070,0.1229,0.1681,0.0000,0.0000,0.0000,20.0000,3.4593,0.5800,33.2893,17.0902,0.0002,0.000664,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0000,-6.3732,-3.6123,-0.9928,0.0000,-0.021815,-0.000404,-0.026844,-0.0030,0.0018,-0.0008,-180.0000,0.0000,0.0000
2,0.0200,-0.1121,-0.0253,0.1107,0.1595,0.0000,0.0000,0.0000,20.0000,3.4642,0.7385,32.3827,17.9564,0.0003,0.000610,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0000,-6.3732,-3.6123,-0.9928,0.0000,-0.023124,0.002323,-0.025689,-0.0027,0.0019,0.0005,-180.0000,0.0000,0.0000
3,0.0300,-0.1051,-0.0366,0.0990,0.1489,0.0000,0.0000,0.0000,20.0000,3.3560,0.8855,32.3112,18.7480,0.0004,0.000573,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0000,-6.3732,-3.6123,-0.9928,0.0000,-0.023106,0.004964,-0.023828,-0.0028,0.0014,0.0016,-180.0000,0.0000,0.0000
4,0.0400,-0.0983,-0.0378,0.0900,0.1386,0.0000,0.0000,0.0000,20.0000,3.1948,1.0170,26.2656,19.3278,0.0005,0.000593,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0000,-6.3732,-3.6123,-0.9928,0.0000,-0.022372,0.006532,-0.021852,-0.0028,0.0009,0.0016,-180.0000,0.0000,0.0000
5,0.0500,-0.0871,-0.0374,0.0914,0.1317,0.0000,0.0000,0.0000,20.0000,3.0357,1.1324,20.3014,19.5454,0.0007,0.000674,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0000,-6.3732,-3.6123,-0.9928,0.0000,-0.020795,0.007341,-0.020862,-0.0023,-0.0000,0.0020,-180.0000,0.0000,0.0000
6,0.0600,-0.0782,-0.0380,0.0975,0.1307,0.0000,0.0000,0.0000,20.0000,2.9297,1.2342,18.6488,19.5415,0.0008,0.000637,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0000,-6.3732,-3.6123,-0.9928,0.0000,-0.018998,0.007839,-0.020879,-0.0020,0.0003,0.0029,-180.0000,0.0000,0.0000
7,0.0700,-0.0862,-0.0414,0.0959,0.1354,0.0000,0.0000,0.0000,20.0000,2.9177,1.3271,6.6952,19.1636,0.0010,0.000657,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0000,-6.3732,-3.6123,-0.9928,0.0000,-0.018767,0.008437,-0.020686,-0.0021,0.0000,0.0003,-180.0000,0.0000,0.0000
8,0.0800,-0.1014,-0.0497,0.0855,0.1416,0.0000,0.0000,0.0000,20.0000,2.9609,1.4158,21.3198,18.8800,0.0012,0.000501,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0000,-6.3732,-3.6123,-0.9928,0.0000,-0.020118,0.009582,-0.019497,-0.0020,-0.0000,-0.0012,-180.0000,0.0000,0.0000
9,0.0900,-0.1132,-0.0646,0.0737,0.1498,0.0000,0.0000,0.0000,20.0000,3.0521,1.5033,33.9332,19.3611,0.0014,0.000595,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0000,-6.3732,-3.6123,-0.9928,0.0000,-0.022008,0.011686,-0.017624,-0.0025,0.0005,-0.0007,-180.0000,0.0000,0.0000
