Index,Time_s,Fx,Fy,Fz,F_Amp,Psi_Imp,Psi_Int,Beta,K_Stiffness,Vel_Raw,Vel_Filt,Acc_Raw,Acc_Filt,Lyapunov_V_Nmm,Loop_Duration_s,q1,q2,q3,q4,q5,tau1,tau2,tau3,tau4,tau5,deltaXcmd,deltaYcmd,deltaZcmd,Tx_EE,Ty_EE,Tz_EE,Roll,Pitch,Yaw
0,0.0000,0.0040,0.0628,-0.0234,0.0671,0.0000,0.0000,0.0000,20.0000,1.2353,0.1558,21.9184,5.8087,0.0000,0.000404,0.0000,0.0000,-0.0000,0.0000,0.0000,0.0000,-6.3731,-3.6122,-0.9928,0.0000,0.001359,-0.011677,0.003795,-0.0011,-0.0003,-0.0037,-180.0000,0.0000,0.0000
1,0.0100,0.0042,0.0580,-0.0273,0.0643,0.0000,0.0000,0.0000,20.0000,1.3156,0.2174,11.5693,6.4103,0.0000,0.000358,0.0000,0.0000,-0.0000,0.0000,0.0000,0.0000,-6.3731,-3.6122,-0.9928,0.0000,0.001153,-0.012190,0.004812,-0.0008,-0.0013,-0.0046,-180.0000,0.0000,0.0000
2,0.0200,0.0018,0.0546,-0.0251,0.0601,0.0000,0.0000,0.0000,20.0000,1.3178,0.2778,4.8603,6.5095,0.0000,0.000604,0.0000,0.0000,-0.0000,0.0000,0.0000,0.0000,-6.3731,-3.6122,-0.9928,0.0000,0.000805,-0.012107,0.005141,-0.0009,-0.0006,-0.0054,-180.0000,0.0000,0.0000
3,0.0300,-0.0003,0.0565,-0.0219,0.0606,0.0000,0.0000,0.0000,20.0000,1.3217,0.3351,4.4634,6.4079,0.0001,0.000422,0.0000,0.0000,-0.0000,0.0000,0.0000,0.0000,-6.3731,-3.6122,-0.9928,0.0000,0.000400,-0.012230,0.004997,0.0004,0.0000,-0.0053,-180.0000,0.0000,0.0000
4,0.0400,0.0009,0.0628,-0.0173,0.0652,0.0000,0.0000,0.0000,20.0000,1.3649,0.3906,8.7996,6.4202,0.0001,0.000390,0.0000,0.0000,-0.0000,0.0000,0.0000,0.0000,-6.3731,-3.6122,-0.9928,0.0000,0.000296,-0.012903,0.004440,0.0016,-0.0000,-0.0047,-180.0000,0.0000,0.0000
5,0.0500,-0.0010,0.0694,-0.0059,0.0696,0.0000,0.0000,0.0000,20.0000,1.4222,0.4458,17.8160,6.7991,0.0001,0.000334,0.0000,0.0000,-0.0000,0.0000,0.0000,0.0000,-6.3731,-3.6122,-0.9928,0.0000,0.000043,-0.013904,0.002988,0.0016,0.0000,-0.0052,-180.0000,0.0000,0.0000
6,0.0600,-0.0072,0.0668,0.0048,0.0674,0.0000,0.0000,0.0000,20.0000,1.4233,0.4995,20.4473,7.4775,0.0001,0.000627,0.0000,0.0000,-0.0000,0.0000,0.0000,0.0000,-6.3731,-3.6122,-0.9928,0.0000,-0.000713,-0.014172,0.001107,0.0017,0.0011,-0.0046,-180.0000,0.0000,0.0000
7,0.0700,-0.0123,0.0495,0.0062,0.0514,0.0000,0.0000,0.0000,20.0000,1.2667,0.5460,22.0702,8.2355,0.0002,0.000554,0.0000,0.0000,-0.0000,0.0000,0.0000,0.0000,-6.3731,-3.6122,-0.9928,0.0000,-0.001643,-0.012560,-0.000079,0.0011,0.0013,-0.0040,-180.0000,0.0000,0.0000
8,0.0800,-0.0141,0.0287,0.0003,0.0320,0.0000,0.0000,0.0000,20.0000,0.9843,0.5779,30.7853,9.2362,0.0002,0.000486,0.0000,0.0000,-0.0000,0.0000,0.0000,0.0000,-6.3731,-3.6122,-0.9928,0.0000,-0.002335,-0.009561,-0.000135,0.0011,0.0015,-0.0036,-180.0000,0.0000,0.0000
9,0.0900,-0.0125,0.0092,-0.0069,0.0170,0.0000,0.0000,0.0000,20.0000,0.6485,0.5910,36.9513,10.5912,0.0002,0.000545,0.0000,0.0000,-0.0000,0.0000,0.0000,0.0000,-6.3731,-3.6122,-0.9928,0.0000,-0.002553,-0.005936,0.000550,-0.0005,0.0007,-0.0044,-180.0000,0.0000,0.0000
10,0.1000,-0.0139,-0.0120,-0.0111,0.0215,0.0000,0.0000,0.0000,20.0000,0.3597,0.5862,42.2055,12.1857,0.0002,0.000505,0.0000,0.0000,-0.0000,0.0000,0.0000,0.0000,-6.3731,-3.6122,-0.9928,0.0000,-0.002806,-0.001800,0.001351,-0.0009,0.0013,-0.0034,-180.0000,0.0000,0.0000
11,0.1100,-0.0199,-0.0265,-0.0080,0.0340,0.0000,0.0000,0.0000,20.0000,0.4293,0.5757,38.0701,13.7233,0.0002,0.000458,0.0000,0.0000,-0.0000,0.0000,0.0000,0.0000,-6.3731,-3.6122,-0.9928,0.0000,-0.003539,0.001934,0.001473,-0.0018,0.0022,-0.0033,-180.0000,0.0000,0.0000
12,0.1200,-0.0233,-0.0245,0.0002,0.0338,0.0000,0.0000,0.0000,20.0000,0.5768,0.5717,21.4166,14.6046,0.0002,0.000369,0.0000,0.0000,-0.0000,0.0000,0.0000,0.0000,-6.3731,-3.6122,-0.9928,0.0000,-0.004281,0.003797,0.000722,-0.0007,0.0025,-0.0016,-180.0000,0.0000,0.0000
13,0.1300,-0.0199,-0.0162,0.0091,0.0272,0.0000,0.0000,0.0000,20.0000,0.5924,0.5724,13.2468,14.7546,0.0002,0.000391,0.0000,0.0000,-0.0000,0.0000,0.0000,0.0000,-6.3731,-3.6122,-0.9928,0.0000,-0.004338,0.003991,-0.000587,-0.0012,0.0020,-0.0014,-180.0000,0.0000,0.0000
14,0.1400,-0.0150,-0.0015,0.0178,0.0233,0.0000,0.0000,0.0000,20.0000,0.5159,0.5714,21.4461,14.8971,0.0002,0.000310,0.0000,0.0000,-0.0000,0.0000,0.0000,0.0000,-6.3731,-3.6122,-0.9928,0.0000,-0.003874,0.002624,-0.002174,-0.0004,0.0026,-0.0013,-180.0000,0.0000,0.0000
15,0.1500,-0.0116,0.0303,0.0196,0.0379,0.0000,0.0000,0.0000,20.0000,0.4786,0.5673,42.3632,15.8327,0.0002,0.000325,-0.0166,-0.0080,0.0011,0.0068,-0.0166,-0.0001,-6.3731,-3.6122,-0.9928,0.0000,-0.003262,-0.001442,-0.003192,-0.0002,0.0029,-0.0033,-180.0000,-0.0000,0.0000
16,0.1600,0.0013,0.0690,0.0123,0.0701,0.0000,0.0000,0.0000,20.0000,0.8296,0.5721,63.2507,17.8666,0.0002,0.000339,-0.0166,-0.0080,0.0011,0.0068,-0.0166,-0.0001,-6.3731,-3.6122,-0.9928,0.0000,-0.001634,-0.007552,-0.003020,0.0007,0.0022,-0.0037,-180.0000,-0.0000,0.0000
17,0.1700,0.0195,0.0970,0.0036,0.0990,0.0000,0.0000,0.0000,20.0000,1.3916,0.6017,68.1159,20.4969,0.0002,0.000312,-0.0166,-0.0080,0.0011,0.0068,-0.0166,-0.0001,-6.3731,-3.6122,-0.9928,0.0000,0.001089,-0.013720,-0.002054,0.0010,0.0021,-0.0057,-180.0000,-0.0000,0.0000
18,0.1800,0.0307,0.1173,-0.0018,0.1213,0.0000,0.0000,0.0000,20.0000,1.9514,0.6606,61.1255,22.9240,0.0003,0.000325,-0.0166,-0.0080,0.0011,0.0068,-0.0166,-0.0001,-6.3731,-3.6122,-0.9928,0.0000,0.003719,-0.019132,-0.000973,0.0020,0.0025,-0.0069,-180.0000,-0.0000,0.0000
19,0.1900,0.0398,0.1326,-0.0100,0.1388,0.0000,0.0000,0.0000,20.0000,2.4384,0.7450,52.5438,24.7894,0.0004,0.000315,-0.0166,-0.0080,0.0011,0.0068,-0.0166,-0.0001,-6.3731,-3.6122,-0.9928,0.0000,0.006069,-0.023613,0.000441,0.0021,0.0030,-0.0070,-180.0000,-0.0000,0.0000
20,0.2000,0.0471,0.1328,-0.0191,0.1422,0.0000,0.0000,0.0000,20.0000,2.7370,0.8463,35.9748,25.8604,0.0005,0.000420,-0.0166,-0.0080,0.0011,0.0068,-0.0166,-0.0001,-6.3731,-3.6122,-0.9928,0.0000,0.008090,-0.026059,0.002136,0.0022,0.0029,-0.0063,-180.0000,-0.0000,0.0000
