Index,Time_s,Fx,Fy,Fz,F_Amp,Psi_Imp,Psi_Int,Beta,K_Stiffness,Vel_Raw,Vel_Filt,Acc_Raw,Acc_Filt,Lyapunov_V_Nmm,Loop_Duration_s,q1,q2,q3,q4,q5,tau1,tau2,tau3,tau4,tau5,deltaXcmd,deltaYcmd,deltaZcmd,Tx_EE,Ty_EE,Tz_EE,Roll,Pitch,Yaw
0,0.0000,-0.0815,-0.0751,-0.0444,0.1194,0.0000,0.0000,0.0000,20.0000,2.0959,0.2419,51.4435,10.1321,0.0000,0.000900,358.7853,-60.5656,-23.2323,83.7979,358.7853,-0.0000,0.6290,-11.2446,-0.9926,5.1371,-0.012321,0.014898,0.008095,-0.0038,0.0000,-0.0004,-180.0000,0.0000,0.0000
1,0.0100,-0.1096,-0.0704,-0.0416,0.1367,0.0000,0.0000,0.0000,20.0000,2.4868,0.3546,54.3247,12.4838,0.0001,0.000790,358.7853,-60.5656,-23.2323,83.7979,358.7853,-0.0000,0.6290,-11.2446,-0.9926,5.1371,-0.017724,0.015184,0.008585,-0.0036,0.0012,-0.0015,-180.0000,0.0000,0.0000
2,0.0200,-0.1315,-0.0651,-0.0342,0.1507,0.0000,0.0000,0.0000,20.0000,2.8405,0.4816,51.7904,14.7157,0.0001,0.000804,358.7853,-60.5656,-23.2323,83.7979,358.7853,-0.0000,0.6290,-11.2446,-0.9926,5.1371,-0.022865,0.014778,0.008103,-0.0036,0.0013,-0.0011,-180.0000,0.0000,0.0000
3,0.0300,-0.1383,-0.0561,-0.0208,0.1507,0.0000,0.0000,0.0000,20.0000,3.0357,0.6168,40.0862,16.4332,0.0002,0.000850,358.7853,-60.5656,-23.2323,83.7979,358.7853,-0.0000,0.6290,-11.2446,-0.9926,5.1371,-0.026343,0.013625,0.006478,-0.0030,0.0001,-0.0004,-180.0000,0.0000,0.0000
4,0.0400,-0.1353,-0.0447,0.0006,0.1425,0.0000,0.0000,0.0000,20.0000,3.0502,0.7502,38.6867,17.6958,0.0003,0.000835,358.7853,-60.5656,-23.2323,83.7979,358.7853,-0.0000,0.6290,-11.2446,-0.9926,5.1371,-0.027907,0.011824,0.003432,-0.0026,-0.0003,0.0000,-180.0000,0.0000,0.0000
5,0.0500,-0.1223,-0.0282,0.0253,0.1280,0.0000,0.0000,0.0000,20.0000,2.8910,0.8724,49.6742,19.1526,0.0004,0.000766,358.7853,-60.5656,-23.2323,83.7979,358.7853,-0.0000,0.6290,-11.2446,-0.9926,5.1371,-0.027413,0.009153,-0.000727,-0.0009,-0.0006,0.0005,-180.0000,0.0000,0.0000
6,0.0600,-0.0986,-0.0053,0.0496,0.1105,0.0000,0.0000,0.0000,20.0000,2.5880,0.9751,66.3264,21.2896,0.0004,0.000856,358.7853,-60.5656,-23.2323,83.7979,358.7853,-0.0000,0.6290,-11.2446,-0.9926,5.1371,-0.024721,0.005368,-0.005462,0.0009,-0.0023,0.0014,-180.0000,0.0000,0.0000
7,0.0700,-0.0854,0.0114,0.0677,0.1096,0.0000,0.0000,0.0000,20.0000,2.4043,1.0587,64.6676,23.7213,0.0005,0.000784,358.7853,-60.5656,-23.2323,83.7979,358.7853,-0.0000,0.6290,-11.2446,-0.9926,5.1371,-0.021866,0.001596,-0.009871,0.0014,-0.0015,0.0005,-180.0000,0.0000,0.0000
8,0.0800,-0.0841,0.0153,0.0737,0.1128,0.0000,0.0000,0.0000,20.0000,2.3900,1.1324,42.8306,25.3731,0.0006,0.000820,358.7853,-60.5656,-23.2323,83.7979,358.7853,-0.0000,0.6290,-11.2446,-0.9926,5.1371,-0.020107,-0.000880,-0.012890,0.0026,-0.0004,0.0008,-180.0000,0.0000,0.0000
9,0.0900,-0.0820,0.0122,0.0701,0.1086,0.0000,0.0000,0.0000,20.0000,2.3695,1.2010,20.6113,25.7223,0.0007,0.000806,358.7853,-60.5656,-23.2323,83.7979,358.7853,-0.0000,0.6290,-11.2446,-0.9926,5.1371,-0.018889,-0.001938,-0.014174,0.0022,-0.0003,0.0009,-180.0000,0.0000,0.0000
10,0.1000,-0.0817,0.0013,0.0567,0.0995,0.0000,0.0000,0.0000,20.0000,2.2674,1.2624,11.1265,25.1803,0.0008,0.000760,358.7853,-60.5656,-23.2323,83.7979,358.7853,-0.0000,0.6290,-11.2446,-0.9926,5.1371,-0.018148,-0.001431,-0.013517,0.0019,0.0002,0.0007,-180.0000,0.0000,0.0000
11,0.1100,-0.0783,-0.0189,0.0339,0.0874,0.0000,0.0000,0.0000,20.0000,2.0491,1.3117,36.1749,25.0961,0.0009,0.000756,358.7853,-60.5656,-23.2323,83.7979,358.7853,-0.0000,0.6290,-11.2446,-0.9926,5.1371,-0.017363,0.000879,-0.010846,0.0012,0.0000,-0.0003,-180.0000,0.0000,0.0000
12,0.1200,-0.0601,-0.0330,0.0077,0.0690,0.0000,0.0000,0.0000,20.0000,1.6881,1.3424,54.2467,26.2026,0.0009,0.001762,358.7853,-60.5656,-23.2323,83.7979,358.7853,-0.0000,0.6290,-11.2446,-0.9926,5.1371,-0.015069,0.003559,-0.006726,0.0021,0.0000,-0.0006,-180.0000,0.0000,0.0000
13,0.1300,-0.0317,-0.0365,-0.0179,0.0515,0.0000,0.0000,0.0000,20.0000,1.2525,1.3494,65.6982,28.0602,0.0010,0.000771,358.7993,-60.5894,-23.2253,83.8147,358.7993,-0.0000,0.6290,-11.2446,-0.9926,5.3575,-0.011104,0.005488,-0.001855,0.0004,-0.0011,-0.0022,-180.0000,-0.0000,-0.0000
14,0.1400,-0.0037,-0.0409,-0.0433,0.0597,0.0000,0.0000,0.0000,20.0000,0.9865,1.3367,73.9611,30.3579,0.0011,0.000767,358.7993,-60.5894,-23.2253,83.8147,358.7993,-0.0000,0.6290,-11.2446,-0.9926,5.3575,-0.006097,0.006980,0.003380,-0.0009,-0.0011,-0.0023,-180.0000,-0.0000,-0.0000
15,0.1500,0.0226,-0.0466,-0.0656,0.0836,0.0000,0.0000,0.0000,20.0000,1.1943,1.3232,75.7771,32.8063,0.0011,0.000827,358.7993,-60.5894,-23.2253,83.8147,358.7993,-0.0000,0.6290,-11.2446,-0.9926,5.3575,-0.000682,0.008366,0.008496,-0.0016,-0.0008,-0.0032,-180.0000,-0.0000,-0.0000
16,0.1600,0.0433,-0.0536,-0.0838,0.1085,0.0000,0.0000,0.0000,20.0000,1.6970,1.3299,70.1287,35.0147,0.0011,0.000808,358.7993,-60.5894,-23.2253,83.8147,358.7993,-0.0000,0.6290,-11.2446,-0.9926,5.3575,0.004376,0.009818,0.013132,-0.0022,-0.0004,-0.0020,-180.0000,-0.0000,-0.0000
17,0.1700,0.0488,-0.0646,-0.0982,0.1273,0.0000,0.0000,0.0000,20.0000,2.2117,1.3643,55.2545,36.5372,0.0011,0.000746,358.7993,-60.5894,-23.2253,83.8147,358.7993,-0.0000,0.6290,-11.2446,-0.9926,5.3575,0.007719,0.011701,0.017107,-0.0032,-0.0001,-0.0014,-180.0000,-0.0000,-0.0000
18,0.1800,0.0384,-0.0821,-0.1029,0.1371,0.0000,0.0000,0.0000,20.0000,2.5903,1.4213,38.9222,37.1176,0.0011,0.000827,358.7993,-60.5894,-23.2253,83.8147,358.7993,-0.0000,0.6290,-11.2446,-0.9926,5.3575,0.008505,0.014463,0.019735,-0.0041,0.0008,-0.0006,-180.0000,-0.0000,-0.0000
19,0.1900,0.0255,-0.0993,-0.0979,0.1418,0.0000,0.0000,0.0000,20.0000,2.8239,1.4920,34.5665,37.0970,0.0011,0.000785,358.7993,-60.5894,-23.2253,83.8147,358.7993,-0.0000,0.6290,-11.2446,-0.9926,5.3575,0.007637,0.017681,0.020653,-0.0036,0.0005,0.0005,-180.0000,-0.0000,-0.0000
20,0.2000,0.0169,-0.1061,-0.0877,0.1387,0.0000,0.0000,0.0000,20.0000,2.9110,1.5677,28.3090,36.7857,0.0012,0.000767,358.7993,-60.5894,-23.2253,83.8147,358.7993,-0.0000,0.6290,-11.2446,-0.9926,5.3575,0.006282,0.020103,0.020095,-0.0040,-0.0012,0.0017,-180.0000,-0.0000,-0.0000
21,0.2100,0.0124,-0.0975,-0.0737,0.1229,0.0000,0.0000,0.0000,20.0000,2.8008,1.6386,21.7165,36.1381,0.0013,0.000840,358.7993,-60.5894,-23.2253,83.8147,358.7993,-0.0000,0.6290,-11.2446,-0.9926,5.3575,0.005068,0.020544,0.018349,-0.0029,-0.0018,0.0013,-180.0000,-0.0000,-0.0000
22,0.2200,0.0187,-0.0769,-0.0591,0.0988,0.0000,0.0000,0.0000,20.0000,2.5033,1.6943,30.8713,35.5966,0.0014,0.001431,358.7993,-60.5894,-23.2253,83.8147,358.7993,-0.0000,0.6290,-11.2446,-0.9926,5.3575,0.005015,0.018689,0.015882,-0.0021,-0.0022,0.0008,-180.0000,-0.0000,-0.0000
23,0.2300,0.0349,-0.0516,-0.0487,0.0791,0.0000,0.0000,0.0000,20.0000,2.1268,1.7285,46.2020,35.7583,0.0015,0.000759,358.7993,-60.5894,-23.2253,83.8147,358.7993,-0.0000,0.6290,-11.2446,-0.9926,5.3575,0.006602,0.015099,0.013445,-0.0014,-0.0030,0.0007,-180.0000,-0.0000,-0.0000
24,0.2400,0.0442,-0.0314,-0.0418,0.0685,0.0000,0.0000,0.0000,20.0000,1.7955,1.7413,48.8040,36.4044,0.0015,0.000781,358.7993,-60.5894,-23.2253,83.8147,358.7993,-0.0000,0.6290,-11.2446,-0.9926,5.3575,0.008398,0.011056,0.011385,-0.0021,-0.0028,0.0009,-180.0000,-0.0000,-0.0000
25,0.2500,0.0371,-0.0226,-0.0378,0.0576,0.0000,0.0000,0.0000,20.0000,1.5309,1.7370,35.0871,36.7092,0.0016,0.000794,358.7993,-60.5894,-23.2253,83.8147,358.7993,-0.0000,0.6290,-11.2446,-0.9926,5.3575,0.008664,0.007924,0.009825,-0.0026,-0.0008,0.0004,-180.0000,-0.0000,-0.0000
26,0.2600,0.0164,-0.0200,-0.0382,0.0461,0.0000,0.0000,0.0000,20.0000,1.2680,1.7184,29.2019,36.4581,0.0016,0.000794,358.7993,-60.5894,-23.2253,83.8147,358.7993,-0.0000,0.6290,-11.2446,-0.9926,5.3575,0.006722,0.005914,0.008979,-0.0035,0.0005,-0.0002,-180.0000,-0.0000,-0.0000
