Index,Time_s,Fx,Fy,Fz,F_Amp,Psi_Imp,Psi_Int,Beta,K_Stiffness,Vel_Raw,Vel_Filt,Acc_Raw,Acc_Filt,Lyapunov_V_Nmm,Loop_Duration_s,q1,q2,q3,q4,q5,tau1,tau2,tau3,tau4,tau5,deltaXcmd,deltaYcmd,deltaZcmd,Tx_EE,Ty_EE,Tz_EE,Roll,Pitch,Yaw
0,0.0000,-0.1099,-0.0035,-0.0361,0.1157,0.0000,0.0000,0.0000,20.0000,1.9492,0.2063,52.5297,8.9276,0.0000,0.000794,-0.0000,-0.0000,-0.0000,0.0000,-0.0000,-0.0000,-6.3731,-3.6122,-0.9928,0.0000,-0.018722,-0.000692,0.005381,-0.0010,0.0032,-0.0032,-180.0000,0.0000,0.0000
1,0.0100,-0.1018,-0.0006,-0.0566,0.1164,0.0000,0.0000,0.0000,20.0000,2.2174,0.3096,36.7362,10.8917,0.0001,0.000728,-0.0000,-0.0000,-0.0000,0.0000,-0.0000,-0.0000,-6.3731,-3.6122,-0.9928,0.0000,-0.020432,-0.000310,0.008610,-0.0013,0.0022,-0.0016,-180.0000,0.0000,0.0000
2,0.0200,-0.0684,0.0064,-0.0788,0.1045,0.0000,0.0000,0.0000,20.0000,2.1981,0.4140,47.0000,12.5956,0.0001,0.000746,-0.0000,-0.0000,-0.0000,0.0000,-0.0000,-0.0000,-6.3731,-3.6122,-0.9928,0.0000,-0.017995,-0.000801,0.012599,-0.0013,0.0013,0.0007,-180.0000,0.0000,0.0000
3,0.0300,-0.0227,0.0106,-0.1003,0.1034,0.0000,0.0000,0.0000,20.0000,2.0835,0.5090,73.8706,15.2272,0.0001,0.000809,-0.0000,-0.0000,-0.0000,0.0000,-0.0000,-0.0000,-6.3731,-3.6122,-0.9928,0.0000,-0.012051,-0.001483,0.016932,-0.0002,0.0008,0.0025,-180.0000,0.0000,0.0000
4,0.0400,0.0228,0.0205,-0.1163,0.1203,0.0000,0.0000,0.0000,20.0000,2.1496,0.5974,89.0628,18.8709,0.0002,0.000705,-0.0000,-0.0000,-0.0000,0.0000,-0.0000,-0.0000,-6.3731,-3.6122,-0.9928,0.0000,-0.004190,-0.002851,0.020889,-0.0002,0.0005,0.0033,-180.0000,0.0000,0.0000
5,0.0500,0.0556,0.0299,-0.1254,0.1404,0.0000,0.0000,0.0000,20.0000,2.4616,0.6914,83.9907,22.5925,0.0002,0.001268,-0.0000,-0.0000,-0.0000,0.0000,-0.0000,-0.0000,-6.3731,-3.6122,-0.9928,0.0000,0.003447,-0.004542,0.023947,-0.0002,0.0004,0.0036,-180.0000,0.0000,0.0000
6,0.0600,0.0741,0.0288,-0.1305,0.1529,0.0000,0.0000,0.0000,20.0000,2.8295,0.7989,64.9271,25.4456,0.0002,0.000917,-0.0000,-0.0000,-0.0000,0.0000,-0.0000,-0.0000,-6.3731,-3.6122,-0.9928,0.0000,0.009517,-0.005359,0.026102,0.0000,0.0008,0.0049,-180.0000,0.0000,0.0000
7,0.0700,0.0822,0.0233,-0.1280,0.1539,0.0000,0.0000,0.0000,20.0000,3.0702,0.9172,42.4116,26.9981,0.0003,0.000800,-0.0000,-0.0000,-0.0000,0.0000,-0.0000,-0.0000,-6.3731,-3.6122,-0.9928,0.0000,0.013663,-0.005244,0.026990,0.0002,0.0014,0.0050,-180.0000,0.0000,0.0000
8,0.0800,0.0808,0.0219,-0.1217,0.1477,0.0000,0.0000,0.0000,20.0000,3.1501,1.0378,21.3956,27.2680,0.0004,0.000737,-0.0000,-0.0000,-0.0000,0.0000,-0.0000,-0.0000,-6.3731,-3.6122,-0.9928,0.0000,0.015783,-0.005030,0.026794,0.0018,0.0022,0.0036,-180.0000,0.0000,0.0000
9,0.0900,0.0805,0.0299,-0.1192,0.1469,0.0000,0.0000,0.0000,20.0000,3.1842,1.1550,13.6352,26.7315,0.0004,0.002304,-0.0000,-0.0000,-0.0000,0.0000,-0.0000,-0.0000,-6.3731,-3.6122,-0.9928,0.0000,0.016891,-0.005709,0.026382,0.0040,0.0026,0.0036,-180.0000,0.0000,0.0000
