Index,Time_s,Fx,Fy,Fz,F_Amp,Psi_Imp,Psi_Int,Beta,K_Stiffness,Vel_Raw,Vel_Filt,Acc_Raw,Acc_Filt,Lyapunov_V_Nmm,Loop_Duration_s,q1,q2,q3,q4,q5,tau1,tau2,tau3,tau4,tau5,deltaXcmd,deltaYcmd,deltaZcmd,Tx_EE,Ty_EE,Tz_EE,Roll,Pitch,Yaw
0,0.0000,-0.0432,0.0157,-0.0254,0.0525,0.0000,0.0000,0.0000,20.0000,0.9933,0.1340,15.3566,4.8559,0.0000,0.000781,-10.5822,-27.3691,1.5069,25.8622,-10.5822,0.0000,-3.1901,-7.7220,-0.9907,0.0000,-0.008276,-0.003458,0.004267,-0.0035,0.0007,0.0021,-180.0000,0.0000,-0.0000
1,0.0100,-0.0555,0.0111,-0.0258,0.0622,0.0000,0.0000,0.0000,20.0000,1.1607,0.1859,19.6683,5.5521,0.0000,0.000892,-10.5822,-27.3691,1.5069,25.8622,-10.5822,0.0000,-3.1901,-7.7220,-0.9907,0.0000,-0.010074,-0.003002,0.004922,-0.0038,0.0002,0.0019,-180.0000,0.0000,-0.0000
2,0.0200,-0.0688,0.0158,-0.0225,0.0741,0.0000,0.0000,0.0000,20.0000,1.3703,0.2452,23.0845,6.4225,0.0000,0.000832,-10.5822,-27.3691,1.5069,25.8622,-10.5822,0.0000,-3.1901,-7.7220,-0.9907,0.0000,-0.012373,-0.003206,0.004940,-0.0027,0.0007,0.0016,-180.0000,0.0000,-0.0000
3,0.0300,-0.0740,0.0304,-0.0200,0.0825,0.0000,0.0000,0.0000,20.0000,1.5648,0.3125,23.7623,7.3577,0.0001,0.000826,-10.5822,-27.3691,1.5069,25.8622,-10.5822,0.0000,-3.1901,-7.7220,-0.9907,0.0000,-0.014143,-0.004773,0.004695,-0.0019,0.0015,0.0020,-180.0000,0.0000,-0.0000
4,0.0400,-0.0772,0.0463,-0.0249,0.0934,0.0000,0.0000,0.0000,20.0000,1.7747,0.3871,27.7750,8.3705,0.0001,0.000797,-10.5822,-27.3691,1.5069,25.8622,-10.5822,0.0000,-3.1901,-7.7220,-0.9907,0.0000,-0.015410,-0.007221,0.005034,-0.0024,0.0020,0.0022,-180.0000,0.0000,-0.0000
5,0.0500,-0.0806,0.0649,-0.0355,0.1095,0.0000,0.0000,0.0000,20.0000,2.0441,0.4709,35.8316,9.6595,0.0001,0.000820,-10.5822,-27.3691,1.5069,25.8622,-10.5822,0.0000,-3.1901,-7.7220,-0.9907,0.0000,-0.016423,-0.010426,0.006277,-0.0013,0.0019,0.0013,-180.0000,0.0000,-0.0000
6,0.0600,-0.0812,0.0863,-0.0493,0.1283,0.0000,0.0000,0.0000,20.0000,2.3736,0.5665,44.3251,11.3327,0.0002,0.000817,-10.5822,-27.3691,1.5069,25.8622,-10.5822,0.0000,-3.1901,-7.7220,-0.9907,0.0000,-0.017006,-0.014310,0.008330,-0.0016,0.0025,-0.0000,-180.0000,0.0000,-0.0000
7,0.0700,-0.0874,0.1081,-0.0649,0.1534,0.0000,0.0000,0.0000,20.0000,2.8082,0.6778,51.4616,13.3439,0.0003,0.000771,-10.5822,-27.3691,1.5069,25.8622,-10.5822,0.0000,-3.1901,-7.7220,-0.9907,0.0000,-0.017920,-0.018607,0.011011,-0.0019,0.0037,-0.0009,-180.0000,0.0000,-0.0000
8,0.0800,-0.0992,0.1267,-0.0779,0.1788,0.0000,0.0000,0.0000,20.0000,3.3053,0.8087,52.8507,15.4789,0.0004,0.000781,-10.5822,-27.3691,1.5069,25.8622,-10.5822,0.0000,-3.1901,-7.7220,-0.9907,0.0000,-0.019568,-0.022808,0.013763,-0.0018,0.0045,-0.0005,-180.0000,0.0000,-0.0000
9,0.0900,-0.1023,0.1347,-0.0799,0.1871,0.0000,0.0000,0.0000,20.0000,3.6601,0.9558,37.0719,17.1006,0.0005,0.000788,-10.5822,-27.3691,1.5069,25.8622,-10.5822,0.0000,-3.1901,-7.7220,-0.9907,0.0000,-0.020753,-0.025885,0.015456,-0.0000,0.0034,0.0015,-180.0000,0.0000,-0.0000
10,0.1000,-0.0922,0.1312,-0.0678,0.1741,0.0000,0.0000,0.0000,20.0000,3.7184,1.1062,13.8798,17.5613,0.0007,0.000758,-10.5822,-27.3691,1.5069,25.8622,-10.5822,0.0000,-3.1901,-7.7220,-0.9907,0.0000,-0.020355,-0.027180,0.015152,0.0015,0.0024,0.0034,-180.0000,0.0000,-0.0000
11,0.1100,-0.0771,0.1163,-0.0494,0.1480,0.0000,0.0000,0.0000,20.0000,3.4815,1.2433,28.1954,17.7526,0.0009,0.002057,-10.5822,-27.3691,1.5069,25.8622,-10.5822,0.0000,-3.1901,-7.7220,-0.9907,0.0000,-0.018581,-0.026357,0.013121,0.0015,0.0016,0.0049,-180.0000,0.0000,-0.0000
12,0.1200,-0.0644,0.0886,-0.0314,0.1139,0.0000,0.0000,0.0000,20.0000,3.0025,1.3533,49.7054,18.9186,0.0011,0.000793,-10.5822,-27.3691,1.5069,25.8622,-10.5822,0.0000,-3.1901,-7.7220,-0.9907,0.0000,-0.016292,-0.023081,0.010166,0.0014,0.0011,0.0048,-180.0000,0.0000,-0.0000
13,0.1300,-0.0627,0.0617,-0.0164,0.0895,0.0000,0.0000,0.0000,20.0000,2.4747,1.4295,57.2206,20.8188,0.0012,0.000726,-10.5822,-27.3691,1.5069,25.8622,-10.5822,0.0000,-3.1901,-7.7220,-0.9907,0.0000,-0.014821,-0.018534,0.007018,0.0022,0.0000,0.0030,-180.0000,0.0000,-0.0000
14,0.1400,-0.0659,0.0546,-0.0145,0.0868,0.0000,0.0000,0.0000,20.0000,2.1684,1.4786,37.1729,22.2698,0.0014,0.000805,-10.5962,-27.3989,1.5178,25.8811,-10.5962,0.0000,-3.1901,-7.7219,-0.9907,-0.0000,-0.014425,-0.015356,0.005131,0.0017,0.0016,0.0020,-180.0000,-0.0000,-0.0000
15,0.1500,-0.0614,0.0603,-0.0256,0.0898,0.0000,0.0000,0.0000,20.0000,2.0378,1.5129,14.0292,22.4531,0.0015,0.000781,-10.5962,-27.3989,1.5178,25.8811,-10.5962,0.0000,-3.1901,-7.7219,-0.9907,-0.0000,-0.013731,-0.014137,0.005180,0.0006,0.0012,0.0008,-180.0000,-0.0000,-0.0000
16,0.1600,-0.0511,0.0715,-0.0437,0.0982,0.0000,0.0000,0.0000,20.0000,2.0298,1.5416,23.6616,22.2546,0.0017,0.000732,-10.5962,-27.3989,1.5178,25.8811,-10.5962,0.0000,-3.1901,-7.7219,-0.9907,-0.0000,-0.012288,-0.014557,0.007007,0.0016,0.0013,-0.0012,-180.0000,-0.0000,-0.0000
17,0.1700,-0.0403,0.0918,-0.0671,0.1206,0.0000,0.0000,0.0000,20.0000,2.2285,1.5739,44.4408,22.9035,0.0019,0.000814,-10.5962,-27.3989,1.5178,25.8811,-10.5962,0.0000,-3.1901,-7.7219,-0.9907,-0.0000,-0.010384,-0.016782,0.010351,0.0014,0.0013,-0.0012,-180.0000,-0.0000,-0.0000
18,0.1800,-0.0330,0.1111,-0.0862,0.1444,0.0000,0.0000,0.0000,20.0000,2.5855,1.6197,51.9760,24.2955,0.0021,0.000783,-10.5962,-27.3989,1.5178,25.8811,-10.5962,0.0000,-3.1901,-7.7219,-0.9907,-0.0000,-0.008579,-0.019908,0.014090,-0.0010,0.0016,-0.0010,-180.0000,-0.0000,-0.0000
19,0.1900,-0.0385,0.1106,-0.0918,0.1488,0.0000,0.0000,0.0000,20.0000,2.8435,1.6799,31.0489,25.2426,0.0023,0.000749,-10.5962,-27.3989,1.5178,25.8811,-10.5962,0.0000,-3.1901,-7.7219,-0.9907,-0.0000,-0.008112,-0.021551,0.016683,-0.0030,0.0014,-0.0024,-180.0000,-0.0000,-0.0000
20,0.2000,-0.0493,0.0957,-0.0845,0.1369,0.0000,0.0000,0.0000,20.0000,2.8616,1.7444,12.2075,25.0437,0.0026,0.000811,-10.5962,-27.3989,1.5178,25.8811,-10.5962,0.0000,-3.1901,-7.7219,-0.9907,-0.0000,-0.008919,-0.020930,0.017357,-0.0029,0.0011,-0.0025,-180.0000,-0.0000,-0.0000
21,0.2100,-0.0522,0.0910,-0.0665,0.1242,0.0000,0.0000,0.0000,20.0000,2.7353,1.8024,18.4866,24.5103,0.0029,0.000835,-10.5962,-27.3989,1.5178,25.8811,-10.5962,0.0000,-3.1901,-7.7219,-0.9907,-0.0000,-0.009644,-0.020066,0.015892,-0.0026,0.0002,-0.0018,-180.0000,-0.0000,-0.0000
22,0.2200,-0.0482,0.0929,-0.0464,0.1145,0.0000,0.0000,0.0000,20.0000,2.5545,1.8488,28.7114,24.4602,0.0031,0.000777,-10.5962,-27.3989,1.5178,25.8811,-10.5962,0.0000,-3.1901,-7.7219,-0.9907,-0.0000,-0.009624,-0.019746,0.013039,-0.0024,-0.0000,-0.0016,-180.0000,-0.0000,-0.0000
23,0.2300,-0.0378,0.0913,-0.0320,0.1039,0.0000,0.0000,0.0000,20.0000,2.3415,1.8817,32.5021,24.7983,0.0034,0.001298,-10.5962,-27.3989,1.5178,25.8811,-10.5962,0.0000,-3.1901,-7.7219,-0.9907,-0.0000,-0.008555,-0.019371,0.009993,-0.0013,-0.0009,-0.0013,-180.0000,-0.0000,-0.0000
24,0.2400,-0.0251,0.0915,-0.0280,0.0990,0.0000,0.0000,0.0000,20.0000,2.1756,1.9025,28.2276,25.1045,0.0036,0.000758,-10.5962,-27.3989,1.5178,25.8811,-10.5962,0.0000,-3.1901,-7.7219,-0.9907,-0.0000,-0.006678,-0.019141,0.007897,0.0004,-0.0015,-0.0002,-180.0000,-0.0000,-0.0000
25,0.2500,-0.0225,0.0955,-0.0402,0.1060,0.0000,0.0000,0.0000,20.0000,2.1614,1.9171,13.4113,24.8688,0.0039,0.000756,-10.5962,-27.3989,1.5178,25.8811,-10.5962,0.0000,-3.1901,-7.7219,-0.9907,-0.0000,-0.005359,-0.019376,0.007938,0.0009,-0.0007,0.0005,-180.0000,-0.0000,-0.0000
26,0.2600,-0.0314,0.0892,-0.0646,0.1145,0.0000,0.0000,0.0000,20.0000,2.2205,1.9322,25.0985,24.5600,0.0041,0.000810,-10.5962,-27.3989,1.5178,25.8811,-10.5962,0.0000,-3.1901,-7.7219,-0.9907,-0.0000,-0.005515,-0.018836,0.010384,-0.0005,0.0002,0.0008,-180.0000,-0.0000,-0.0000
27,0.2700,-0.0359,0.0730,-0.0897,0.1211,0.0000,0.0000,0.0000,20.0000,2.2887,1.9499,43.4761,25.0951,0.0044,0.000754,-10.5962,-27.3989,1.5178,25.8811,-10.5962,0.0000,-3.1901,-7.7219,-0.9907,-0.0000,-0.006043,-0.016876,0.014229,-0.0016,-0.0000,0.0003,-180.0000,-0.0000,-0.0000
28,0.2800,-0.0331,0.0637,-0.1139,0.1346,0.0000,0.0000,0.0000,20.0000,2.4655,1.9734,49.5332,26.2728,0.0047,0.001293,-10.5962,-27.3989,1.5178,25.8811,-10.5962,0.0000,-3.1901,-7.7219,-0.9907,-0.0000,-0.006039,-0.014836,0.018743,-0.0014,0.0009,0.0005,-180.0000,-0.0000,-0.0000
29,0.2900,-0.0266,0.0637,-0.1346,0.1513,0.0000,0.0000,0.0000,20.0000,2.7526,2.0084,47.2666,27.4899,0.0050,0.000837,-10.5962,-27.3989,1.5178,25.8811,-10.5962,0.0000,-3.1901,-7.7219,-0.9907,-0.0000,-0.005378,-0.013673,0.023276,-0.0013,0.0009,0.0010,-180.0000,-0.0000,-0.0000
30,0.3000,-0.0131,0.0695,-0.1424,0.1589,0.0000,0.0000,0.0000,20.0000,3.0007,2.0561,36.6792,28.2866,0.0054,0.000806,-10.5962,-27.3989,1.5178,25.8811,-10.5962,0.0000,-3.1901,-7.7219,-0.9907,-0.0000,-0.003646,-0.013580,0.026508,-0.0009,-0.0002,0.0010,-180.0000,-0.0000,-0.0000
31,0.3100,0.0070,0.0764,-0.1375,0.1574,0.0000,0.0000,0.0000,20.0000,3.1178,2.1113,32.7622,28.6406,0.0057,0.000740,-10.5962,-27.3989,1.5178,25.8811,-10.5962,0.0000,-3.1901,-7.7219,-0.9907,-0.0000,-0.000677,-0.014195,0.027750,-0.0002,-0.0012,0.0008,-180.0000,-0.0000,-0.0000
32,0.3200,0.0235,0.0760,-0.1245,0.1478,0.0000,0.0000,0.0000,20.0000,3.0822,2.1657,33.7109,28.8934,0.0061,0.000852,-10.5962,-27.3989,1.5178,25.8811,-10.5962,0.0000,-3.1901,-7.7219,-0.9907,-0.0000,0.002616,-0.014470,0.027088,-0.0008,-0.0014,0.0005,-180.0000,-0.0000,-0.0000
33,0.3300,0.0265,0.0664,-0.1018,0.1244,0.0000,0.0000,0.0000,20.0000,2.8345,2.2093,35.2880,29.2017,0.0064,0.000806,-10.5962,-27.3989,1.5178,25.8811,-10.5962,0.0000,-3.1901,-7.7219,-0.9907,-0.0000,0.004738,-0.013634,0.024395,-0.0001,-0.0003,-0.0004,-180.0000,-0.0000,-0.0000
34,0.3400,0.0275,0.0566,-0.0731,0.0965,0.0000,0.0000,0.0000,20.0000,2.4590,2.2333,42.8398,29.7442,0.0067,0.000782,-10.6736,-27.5121,1.5460,25.9660,-10.6736,-0.0019,-3.8804,-7.7255,-0.9895,-0.0000,0.005609,-0.012675,0.020311,-0.0006,-0.0012,0.0004,-180.0000,0.0000,-0.0000
35,0.3500,0.0297,0.0433,-0.0514,0.0735,0.0000,0.0000,0.0000,20.0000,2.0176,2.2336,48.9950,30.6339,0.0069,0.000762,-10.6736,-27.5121,1.5460,25.9660,-10.6736,-0.0019,-3.8804,-7.7255,-0.9895,-0.0000,0.006300,-0.010791,0.015842,-0.0021,-0.0001,0.0005,-180.0000,0.0000,-0.0000
