Index,Time_s,Fx,Fy,Fz,F_Amp,Psi_Imp,Psi_Int,Beta,K_Stiffness,Vel_Raw,Vel_Filt,Acc_Raw,Acc_Filt,Lyapunov_V_Nmm,Loop_Duration_s,q1,q2,q3,q4,q5,tau1,tau2,tau3,tau4,tau5,deltaXcmd,deltaYcmd,deltaZcmd,Tx_EE,Ty_EE,Tz_EE,Roll,Pitch,Yaw
0,0.0000,-0.0250,0.0102,-0.0963,0.1000,0.0000,0.0000,0.0000,20.0000,1.7662,0.2158,39.5878,8.3177,0.0000,0.000677,41.7489,-29.1971,-41.7376,70.9346,41.7489,-0.0000,-6.3332,-11.3336,-1.0003,0.0000,-0.003602,-0.003131,0.017005,-0.0007,0.0025,0.0022,180.0000,0.0000,0.0000
1,0.0100,-0.0269,0.0022,-0.1031,0.1066,0.0000,0.0000,0.0000,20.0000,2.0259,0.3082,30.7335,9.7943,0.0000,0.000679,41.7489,-29.1971,-41.7376,70.9346,41.7489,-0.0000,-6.3332,-11.3336,-1.0003,0.0000,-0.004669,-0.001918,0.019620,-0.0009,0.0013,0.0025,180.0000,0.0000,0.0000
2,0.0200,-0.0261,-0.0085,-0.1009,0.1045,0.0000,0.0000,0.0000,20.0000,2.1432,0.4060,21.6218,10.6955,0.0001,0.000702,41.7489,-29.1971,-41.7376,70.9346,41.7489,-0.0000,-6.3332,-11.3336,-1.0003,0.0000,-0.005162,-0.000175,0.020801,-0.0013,0.0008,0.0018,180.0000,0.0000,0.0000
3,0.0300,-0.0311,-0.0219,-0.0992,0.1063,0.0000,0.0000,0.0000,20.0000,2.2158,0.5035,24.6860,11.3808,0.0001,0.000646,41.7489,-29.1971,-41.7376,70.9346,41.7489,-0.0000,-6.3332,-11.3336,-1.0003,0.0000,-0.005931,0.002129,0.021243,-0.0004,0.0003,-0.0002,180.0000,0.0000,0.0000
4,0.0400,-0.0405,-0.0285,-0.0994,0.1110,0.0000,0.0000,0.0000,20.0000,2.3025,0.6001,23.6585,12.0844,0.0002,0.000700,41.7489,-29.1971,-41.7376,70.9346,41.7489,-0.0000,-6.3332,-11.3336,-1.0003,0.0000,-0.007283,0.004058,0.021463,-0.0003,0.0010,-0.0016,180.0000,0.0000,0.0000
5,0.0500,-0.0552,-0.0303,-0.0958,0.1146,0.0000,0.0000,0.0000,20.0000,2.3805,0.6959,25.4292,12.7698,0.0002,0.000822,41.7489,-29.1971,-41.7376,70.9346,41.7489,-0.0000,-6.3332,-11.3336,-1.0003,0.0000,-0.009488,0.005292,0.021181,0.0001,0.0008,-0.0026,180.0000,0.0000,0.0000
6,0.0600,-0.0729,-0.0310,-0.0903,0.1201,0.0000,0.0000,0.0000,20.0000,2.4680,0.7910,31.5370,13.6342,0.0003,0.000756,41.7489,-29.1971,-41.7376,70.9346,41.7489,-0.0000,-6.3332,-11.3336,-1.0003,0.0000,-0.012459,0.006041,0.020431,-0.0001,0.0007,-0.0025,180.0000,0.0000,0.0000
7,0.0700,-0.0832,-0.0245,-0.0867,0.1226,0.0000,0.0000,0.0000,20.0000,2.5427,0.8853,27.8153,14.5166,0.0004,0.000598,41.7489,-29.1971,-41.7376,70.9346,41.7489,-0.0000,-6.3332,-11.3336,-1.0003,0.0000,-0.015107,0.005791,0.019616,0.0005,0.0002,-0.0029,180.0000,0.0000,0.0000
8,0.0800,-0.0833,-0.0069,-0.0882,0.1215,0.0000,0.0000,0.0000,20.0000,2.5699,0.9772,24.1385,15.1470,0.0005,0.000608,41.7489,-29.1971,-41.7376,70.9346,41.7489,-0.0000,-6.3332,-11.3336,-1.0003,0.0000,-0.016546,0.003883,0.019277,0.0013,-0.0004,-0.0019,180.0000,0.0000,0.0000
9,0.0900,-0.0808,0.0088,-0.0945,0.1247,0.0000,0.0000,0.0000,20.0000,2.6078,1.0658,27.2065,15.7260,0.0006,0.000587,41.7489,-29.1971,-41.7376,70.9346,41.7489,-0.0000,-6.3332,-11.3336,-1.0003,0.0000,-0.017059,0.001242,0.019685,0.0010,-0.0024,-0.0014,180.0000,0.0000,0.0000
