Index,Time_s,Fx,Fy,Fz,F_Amp,Psi_Imp,Psi_Int,Beta,K_Stiffness,Vel_Raw,Vel_Filt,Acc_Raw,Acc_Filt,Lyapunov_V_Nmm,Loop_Duration_s,q1,q2,q3,q4,q5,tau1,tau2,tau3,tau4,tau5,deltaXcmd,deltaYcmd,deltaZcmd,Tx_EE,Ty_EE,Tz_EE,Roll,Pitch,Yaw
0,0.0000,-0.0630,-0.0748,-0.0265,0.1013,0.0000,0.0000,0.0000,20.0000,1.8801,0.2311,33.4945,9.0043,0.0000,0.000664,93.1711,-18.6757,-28.8441,47.5197,93.1711,0.0000,-7.9196,-10.1682,-1.0040,0.0000,-0.012580,0.012735,0.005749,-0.0027,0.0022,-0.0010,-180.0000,0.0000,0.0000
1,0.0100,-0.0437,-0.0849,-0.0229,0.0982,0.0000,0.0000,0.0000,20.0000,1.9880,0.3247,30.5580,10.2707,0.0001,0.000664,93.1711,-18.6757,-28.8441,47.5197,93.1711,0.0000,-7.9196,-10.1682,-1.0040,0.0000,-0.011249,0.015467,0.005425,-0.0023,0.0016,0.0012,-180.0000,0.0000,0.0000
2,0.0200,-0.0184,-0.0883,-0.0249,0.0936,0.0000,0.0000,0.0000,20.0000,1.9796,0.4160,37.6284,11.5811,0.0001,0.000662,93.1711,-18.6757,-28.8441,47.5197,93.1711,0.0000,-7.9196,-10.1682,-1.0040,0.0000,-0.007957,0.017289,0.005443,-0.0016,0.0013,0.0018,-180.0000,0.0000,0.0000
3,0.0300,0.0041,-0.0861,-0.0285,0.0908,0.0000,0.0000,0.0000,20.0000,1.9338,0.5008,41.6133,13.1235,0.0001,0.000631,93.1711,-18.6757,-28.8441,47.5197,93.1711,0.0000,-7.9196,-10.1682,-1.0040,0.0000,-0.003879,0.018035,0.005801,-0.0013,0.0019,0.0021,-180.0000,0.0000,0.0000
4,0.0400,0.0195,-0.0794,-0.0349,0.0889,0.0000,0.0000,0.0000,20.0000,1.8940,0.5785,39.0561,14.6204,0.0002,0.000668,93.1711,-18.6757,-28.8441,47.5197,93.1711,0.0000,-7.9196,-10.1682,-1.0040,0.0000,-0.000071,0.017746,0.006619,-0.0005,0.0011,0.0008,-180.0000,0.0000,0.0000
5,0.0500,0.0264,-0.0724,-0.0456,0.0895,0.0000,0.0000,0.0000,20.0000,1.8902,0.6508,33.0176,15.7984,0.0002,0.000605,93.1711,-18.6757,-28.8441,47.5197,93.1711,0.0000,-7.9196,-10.1682,-1.0040,0.0000,0.002721,0.016843,0.008134,-0.0010,-0.0009,0.0002,-180.0000,0.0000,0.0000
6,0.0600,0.0189,-0.0665,-0.0529,0.0871,0.0000,0.0000,0.0000,20.0000,1.8799,0.7186,20.6933,16.4067,0.0002,0.000611,93.1711,-18.6757,-28.8441,47.5197,93.1711,0.0000,-7.9196,-10.1682,-1.0040,0.0000,0.003516,0.015725,0.009683,-0.0003,-0.0005,-0.0012,-180.0000,0.0000,0.0000
7,0.0700,0.0034,-0.0578,-0.0519,0.0778,0.0000,0.0000,0.0000,20.0000,1.7782,0.7797,20.3040,16.6318,0.0003,0.000625,93.1711,-18.6757,-28.8441,47.5197,93.1711,0.0000,-7.9196,-10.1682,-1.0040,0.0000,0.002393,0.014205,0.010426,0.0000,0.0001,-0.0024,-180.0000,0.0000,0.0000
8,0.0800,-0.0053,-0.0453,-0.0435,0.0630,0.0000,0.0000,0.0000,20.0000,1.5695,0.8289,26.3312,16.9995,0.0003,0.000679,93.1711,-18.6757,-28.8441,47.5197,93.1711,0.0000,-7.9196,-10.1682,-1.0040,0.0000,0.000898,0.012085,0.009973,0.0011,-0.0013,-0.0036,-180.0000,0.0000,0.0000
9,0.0900,-0.0129,-0.0282,-0.0278,0.0417,0.0000,0.0000,0.0000,20.0000,1.2286,0.8603,37.8437,17.8295,0.0004,0.000577,93.1711,-18.6757,-28.8441,47.5197,93.1711,0.0000,-7.9196,-10.1682,-1.0040,0.0000,-0.000687,0.009182,0.008135,0.0018,-0.0012,-0.0034,-180.0000,0.0000,0.0000
